NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy
48148004,ST-ETIENNE-VALLEE-FRANCAISE,44.165833,3.854167,518,10,0,19.4,16.61,34.0,30.830000000000002,23.330000000000002
48156002,ST GERMAIN DU TEIL,44.478,3.160667,775,10,0,14.4,11.700000000000001,31.0,28.73,20.5
48176002,ST PIERRE-DES-TRIPIERS,44.2465,3.3035,929,10,0,15.6,11.589999999999998,29.7,27.329999999999995,19.54
48186001,LA SALLE PRUNET,44.315667,3.650667,903,10,0,16.8,12.52,29.7,26.320000000000004,19.770000000000003
48187003,LES SALCES-FROMENTAL,44.532667,3.155167,1075,10,0,17.7,11.55,27.8,25.740000000000002,18.839999999999996
48198001,VILLEFORT,44.441667,3.928333,620,10,0,17.4,12.25,32.9,29.220000000000006,20.689999999999998
49007011,ANGERS VILLE,47.4535,-0.5605,35,10,4,21.7,17.66,35.2,31.910000000000004,25.22
49008001,ANGRIE,47.561667,-0.970333,65,10,0,17.7,13.89,33.3,29.909999999999997,22.56
49020001,BEAUCOUZE,47.479,-0.614333,50,10,0,18.8,15.540000000000001,34.7,31.02,24.249999999999996
49022001,BEAULIEU-S-LAY,47.308,-0.598333,78,10,0,19.5,16.009999999999998,36.1,32.29,24.449999999999996
49027001,BEGROLLES,47.152167,-0.937667,100,10,0,17.1,13.809999999999999,36.0,32.04,22.8
49099003,CHOLET,47.0795,-0.8805,134,10,3,21.6,17.31,35.0,31.560000000000002,24.930000000000003
49138001,FONTAINE-GUERIN,47.493167,-0.167833,41,10,0,19.1,15.689999999999998,34.6,30.98,23.93
49176001,LE LION D'ANG.,47.6135,-0.735167,52,10,0,17.9,15.05,36.2,32.31,23.58
49188001,MARCE,47.561833,-0.317,53,10,0,18.4,14.8,34.2,30.8,23.69
49191001,MARTIGNE-BRIAND,47.2525,-0.435833,73,10,0,17.6,15.099999999999998,35.3,31.47,24.03
49215002,MONT-BELLAY-INRAE,47.13,-0.1415,58,10,0,19.0,15.59,35.9,32.1,24.42
49248003,POUANCE_SAPC,47.74,-1.188333,96,10,1,20.1,16.1,33.3,29.5,23.279999999999998
49276001,ST FLORENT VIEI,47.355333,-1.011833,21,10,0,18.5,14.89,36.3,32.55,23.79
49281001,ST GEORGES GARD,47.150667,-0.7395,203,10,4,22.2,18.27,35.7,31.690000000000005,25.14
49307001,ST MATHURIN S L,47.425667,-0.319167,20,10,0,17.3,14.569999999999999,35.0,31.53,23.56
49328001,SAUMUR,47.252167,-0.074333,69,10,4,20.9,17.500000000000004,36.6,32.9,25.47
49331003,SEGRE_SAPC,47.679167,-0.873333,25,10,0,19.0,15.34,34.5,30.990000000000002,23.55
49368001,VERNANTES,47.406833,0.018833,41,10,0,16.7,14.16,35.2,31.459999999999997,23.21
49373001,VIHIERS,47.148,-0.517167,124,10,2,20.9,16.99,35.7,31.71,24.75
50020001,PTE DE LA HAGUE,49.725167,-1.939833,6,10,0,16.6,14.059999999999999,28.5,22.04,17.52
50082001,BRICQUEBEC,49.462,-1.650333,38,10,0,14.7,11.74,33.0,27.93,19.65
50111001,CERISY LA SALLE,49.036333,-1.298167,134,10,2,21.9,16.57,33.9,28.680000000000007,22.46
50139001,CONDE SUR VIRE_SAPC,49.050833,-1.0405,28,10,0,16.4,13.479999999999999,34.3,29.579999999999995,21.67
50144001,COULOUVRAY-BOISBENATRE,48.785333,-1.103667,268,10,3,22.9,17.35,34.1,29.330000000000002,22.939999999999998
50147001,COUTANCES,49.044,-1.457833,80,10,2,21.9,16.39,34.9,29.370000000000005,22.9
50174001,EQUILLY,48.8345,-1.388667,101,10,0,18.0,14.220000000000002,34.4,29.459999999999997,22.009999999999998
50209001,GONNEVILLE,49.652667,-1.4635,134,10,1,20.2,14.540000000000001,31.9,26.059999999999995,20.020000000000003
50215002,GOUVILLE,49.1075,-1.606833,7,10,0,19.1,15.91,35.5,28.699999999999996,21.85
50277001,LONGUEVILLE,48.862,-1.573,5,10,2,24.6,16.21,34.4,28.590000000000003,22.23
50298001,MEAUTIS,49.2595,-1.299167,15,10,0,17.1,14.05,35.0,29.77,21.589999999999996
50410003,PONTORSON,48.585667,-1.505167,33,10,0,19.9,15.569999999999999,34.4,28.810000000000002,22.22
50456001,ST-CLEMENT,48.673333,-0.886667,269,10,2,21.4,16.19,33.3,29.3,22.8
50484002,ST-HILAIRE-DU-H,48.563667,-1.096667,95,10,0,17.4,14.479999999999999,33.7,29.93,22.220000000000002
50509002,STE MARIE DU MO,49.4045,-1.168333,5,10,0,17.6,13.559999999999999,29.7,23.7,18.3
50514001,CHAULIEU_SAPC,48.7635,-0.842333,278,10,2,20.3,16.18,31.7,27.75,22.089999999999996
50531001,ST OVIN,48.6825,-1.248667,155,10,4,22.8,17.6,32.7,28.73,23.04
50562001,ST VAAST LA HOUGUE,49.572667,-1.274667,17,10,0,17.9,15.580000000000002,29.6,22.05,18.35
51015001,ARGERS,49.064333,4.849833,152,10,0,13.7,10.38,32.7,29.439999999999998,20.63
51153001,CHOUILLY,49.017833,3.981667,172,10,0,19.6,15.52,31.7,28.54,22.369999999999997
51210001,DIZY,49.069333,3.966167,92,10,0,16.6,13.2,33.7,29.929999999999996,22.18
