NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,lcz_source,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,lcz_comp_100m,lcz_comp_300m,lcz_comp_500m,lcz_category
26189001,MONTAUBAN-S-OUV,44.276,5.478333,689,demuzere,12.0,12,12,"{""12"": 4}","{""12"": 37, ""11"": 3}","{""12"": 77, ""11"": 34}",non_bati
26198001,MONTELIMAR,44.581167,4.733,73,demuzere,6.0,6,6,"{""6"": 3, ""14"": 2, ""9"": 1}","{""6"": 22, ""9"": 14, ""14"": 4}","{""9"": 29, ""8"": 9, ""12"": 4, ""6"": 39, ""14"": 29}",urbain_aere
26258001,PUY-ST-MARTIN,44.618167,4.976833,211,demuzere,14.0,14,14,"{""14"": 5}","{""14"": 30, ""9"": 1, ""12"": 9}","{""14"": 72, ""9"": 14, ""12"": 24, ""11"": 1}",non_bati
26273002,ROCHEFORT-SAMSON_SAPC,44.990667,5.165167,368,demuzere,14.0,14,14,"{""14"": 5}","{""14"": 41}","{""14"": 107, ""12"": 4}",non_bati
26281001,ROMANS_SAPC,45.050167,4.998667,156,demuzere,14.0,14,14,"{""14"": 4}","{""9"": 11, ""14"": 30}","{""14"": 85, ""9"": 27}",non_bati
26290002,COL DE ROUSSET_SAPC,44.841667,5.421667,1400,demuzere,12.0,12,11,"{""12"": 4}","{""11"": 15, ""12"": 24, ""14"": 1}","{""11"": 63, ""12"": 37, ""14"": 12}",non_bati
26292002,ST-AUBAN-SUR-OUVEZE,44.294833,5.409833,625,demuzere,14.0,9,9,"{""9"": 1, ""14"": 4}","{""9"": 23, ""14"": 15, ""12"": 2}","{""9"": 79, ""14"": 20, ""12"": 5, ""11"": 6}",bati_special
26295001,ST-BARTHELEMY-V_SAPC,45.173833,4.9025,203,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 40}","{""14"": 110, ""12"": 2}",non_bati
26298001,ST-CHRISTOPHE-L_SAPC,45.229333,5.071833,452,demuzere,9.0,14,14,"{""9"": 3, ""14"": 1}","{""12"": 5, ""14"": 26, ""9"": 10}","{""14"": 83, ""12"": 14, ""9"": 11}",non_bati
26307001,ST-JEAN-EN-ROYA,45.009167,5.2925,308,demuzere,9.0,9,9,"{""9"": 4}","{""9"": 34, ""12"": 4}","{""6"": 6, ""12"": 35, ""9"": 66, ""11"": 3}",bati_special
26313001,ST-MARCEL-LES-V-INRAE,44.980167,4.931333,190,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 41}","{""14"": 110, ""9"": 2}",non_bati
26327001,ST ROMAN-DIOIS,44.693833,5.428333,545,demuzere,11.0,12,9,"{""11"": 2, ""9"": 1, ""12"": 1}","{""11"": 7, ""12"": 20, ""9"": 13}","{""11"": 17, ""12"": 42, ""9"": 50}",bati_special
