NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_5j_max,TnMoy_5j_max
13055001,MARSEILLE-OBS,43.305667,5.394333,75,3.0,20.4
13055029,MARSEILLE,43.310667,5.479167,192,0.0,17.46
13062002,MIMET,43.4185,5.499667,416,0.0,16.060000000000002
13074003,PEYROLLES EN PROVENCE,43.656667,5.607,217,0.0,13.74
13091002,ST CANNAT,43.6045,5.317667,249,0.0,14.36
13092001,ST CHAMAS,43.5495,5.0395,10,0.0,15.580000000000002
13103001,SALON DE PROVENCE,43.612833,5.108,58,0.0,14.1
13110003,TRETS,43.445333,5.698667,264,0.0,14.5
13111002,VAUVENARGUES,43.551,5.68,565,0.0,15.12
14047002,BAYEUX,49.274833,-0.712333,60,1.0,18.599999999999998
14066001,BERNIERES,49.334,-0.430667,2,0.0,15.64
14096001,BREMOY,48.991167,-0.780833,240,4.0,20.86
14137001,CAEN-CARPIQUET,49.18,-0.456167,67,0.0,16.48
14216001,DAMBLAINVILLE,48.928,-0.148667,155,0.0,18.78
14229001,DOZULE,49.231667,-0.0475,29,0.0,18.6
14239001,ENGLESQUEVILLE,49.3875,-0.956667,38,1.0,17.62
14296001,LEGAST_SAPC,48.794667,-1.037167,336,3.0,20.839999999999996
14357002,LASSY_SAPC,48.9265,-0.6925,223,0.0,19.139999999999997
14366002,LISIEUX_SAPC,49.165,0.227,62,0.0,16.04
14372001,LIVRY,49.099167,-0.7665,194,3.0,20.1
14446001,MONTIGNY,49.045833,-0.530167,151,1.0,18.419999999999998
14501002,PIERREFITTE CIN_SAPC,48.894,-0.3875,187,0.0,18.48
14578001,ST GATIEN DES B,49.3645,0.167,139,0.0,18.080000000000002
14624001,L OUDON LIEURY_SAPC,48.9895,-0.009167,52,0.0,14.120000000000001
14634001,SAINT MICHEL DE,49.006833,0.1295,140,0.0,18.34
14659001,ST SYLVAIN_SAPC,49.06,-0.234333,62,0.0,15.040000000000003
14762004,VIRE HIPPODROME,48.850833,-0.899,100,0.0,15.460000000000003
15001003,ALLANCHE,45.232,2.937667,1010,0.0,9.0
15014001,AURILLAC - VILL,44.935833,2.438333,707,0.0,16.16
15014004,AURILLAC,44.8915,2.419167,632,0.0,13.16
15025001,PRAT DE BOUC,45.0525,2.792,1405,0.0,12.940000000000001
15050001,LE CLAUX,45.1725,2.7105,1033,0.0,11.52
15053001,COLTINES,45.074667,2.990667,979,0.0,9.2
15060002,DEUX-VERGES,44.8015,3.012667,1080,0.0,12.38
15085001,LABROUSSE,44.855333,2.540667,800,0.0,16.4
15101004,LE LIORAN_SAPC,45.080833,2.747667,1236,0.0,12.68
15108003,FAVEROLLES-STADE,44.933167,3.1455,989,0.0,12.680000000000001
15114002,MARCENAT,45.302667,2.833,1075,0.0,11.9
15118002,MARMANHAC,45.002833,2.4745,644,0.0,12.2
15119001,MASSIAC,45.263333,3.197833,533,0.0,12.7
15120005,MAURIAC,45.222167,2.293167,674,0.0,14.62
15122002,MAURS,44.734167,2.166,480,0.0,17.46
15138001,MURAT,45.1095,2.862167,904,0.0,10.74
15162003,RIOM-MONTAGNES,45.280167,2.664667,837,0.0,13.419999999999998
15187006,ST FLOUR,45.024333,3.067333,909,0.0,11.74
