NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,lcz_source,lcz_category,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,ZONE
05046001,EMBRUN,44.571167,6.508667,873,10,0,16.3,12.95,30.4,27.98,20.5,demuzere,bati_special,9.0,9,9,
05055001,LA FAURIE,44.566667,5.750167,825,10,0,9.4,7.0200000000000005,31.0,28.68,18.27,demuzere,non_bati,9.0,9,12,
05061009,GAP,44.577667,6.079833,885,10,0,16.4,12.79,30.3,28.25,20.38,demuzere,bati_special,14.0,14,9,
05063001,LA GRAVE,45.054167,6.285833,1790,10,0,10.9,8.42,24.7,22.04,,demuzere,non_bati,9.0,9,12,
05063402,LA MEIJE-NIVOSE,45.012333,6.265167,3093,10,0,5.7,3.43,11.6,10.31,6.27,demuzere,non_bati,15.0,15,15,
05064403,LES PORTES EN VALGAUDEMAR_NIVO,44.81,6.195333,1270,10,0,9.4,6.610000000000001,27.6,25.2,,demuzere,non_bati,12.0,11,11,
05070003,LARAGNE MONTEGLIN,44.319167,5.7945,565,10,0,13.9,11.3,34.1,30.880000000000003,21.14,demuzere,bati_special,9.0,9,9,
05077402,COL AGNEL-NIVOSE,44.688667,6.976167,2627,10,0,8.0,5.5200000000000005,15.2,12.79,8.84,demuzere,non_bati,15.0,15,15,
05079001,LE MONETIER LES BAINS,44.9715,6.514167,1459,10,0,8.4,5.66,27.7,25.59,,demuzere,urbain_aere,9.0,12,6,
05079402,GALIBIER-NIVOSE,45.056833,6.377167,2559,10,0,8.2,6.06,14.7,12.35,9.03,demuzere,non_bati,15.0,15,15,
05090002,MOTTE-MOLINES,44.748167,6.122833,1250,10,0,11.8,9.36,27.2,25.18,16.08,demuzere,non_bati,12.0,12,11,
05093001,NEVACHE-EDF-03,45.0185,6.622333,1603,10,0,8.0,5.049999999999999,25.6,23.0,,demuzere,bati_special,9.0,9,9,
05096404,ORCIERES-NIVOSE,44.719,6.333667,2280,10,0,9.7,7.68,17.4,14.51,11.04,demuzere,non_bati,15.0,14,14,
05098001,LES ORRES,44.508833,6.559333,1457,10,0,9.6,6.859999999999999,26.3,23.83,15.24,demuzere,non_bati,11.0,12,12,
