NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_glissant_max,TnMoy_glissant_max,window_days,episode
6163007,TENDE_SAPC,44.043167,7.586,636,0.0,16.880000000000003,5,vague-chaleur-juillet-2019
7005001,ALBA LA ROMAINE,44.539833,4.5825,223,0.0,18.859999999999996,5,vague-chaleur-juillet-2019
7010001,ANNONAY,45.246167,4.6705,336,0.0,18.619999999999997,5,vague-chaleur-juillet-2019
7011004,ANTRAIGUES SA,44.712167,4.352167,600,4.0,20.34,5,vague-chaleur-juillet-2019
7019005,AUBENAS SA,44.601667,4.409833,176,1.0,19.740000000000002,5,vague-chaleur-juillet-2019
7025001,BARNAS RAD,44.666,4.159833,480,0.0,17.74,5,vague-chaleur-juillet-2019
7032002,BERZEME RAD,44.628333,4.566333,650,4.0,20.880000000000003,5,vague-chaleur-juillet-2019
7033001,BESSAS,44.34,4.298667,251,4.0,21.279999999999998,5,vague-chaleur-juillet-2019
7064001,CHEYLARD SA,44.914833,4.4375,418,0.0,16.759999999999998,5,vague-chaleur-juillet-2019
7066001,CHOMERAC SA_RCE,44.6995,4.648333,216,1.0,19.18,5,vague-chaleur-juillet-2019
7066800,CHOMERAC SA_DOUBLE,44.697667,4.649167,212,1.0,19.419999999999998,5,vague-chaleur-juillet-2019
7068001,COLOMBIER JEUNE RAD,45.0155,4.671167,566,5.0,22.119999999999997,5,vague-chaleur-juillet-2019
7069001,COLOMBIER VIEUX SA,45.063667,4.698,408,1.0,18.92,5,vague-chaleur-juillet-2019
7075001,CROS GEORAND,44.780167,4.099667,1021,0.0,13.38,5,vague-chaleur-juillet-2019
7088001,FAUGERES,44.474667,4.136167,430,4.0,21.4,5,vague-chaleur-juillet-2019
7096001,GLUIRAS RAD,44.839333,4.524,760,4.0,21.279999999999998,5,vague-chaleur-juillet-2019
7099001,GRAS,44.429,4.5655,341,0.0,18.12,5,vague-chaleur-juillet-2019
7101001,GROSPIERRES,44.411333,4.300833,127,1.0,19.0,5,vague-chaleur-juillet-2019
7101002,GROSPIERRES SA,44.4115,4.295833,107,1.0,18.4,5,vague-chaleur-juillet-2019
7105001,ISSANLAS,44.773167,3.981667,1215,0.0,15.24,5,vague-chaleur-juillet-2019
7105003,ISSANLAS_SAPC,44.7555,3.975333,1264,0.0,16.5,5,vague-chaleur-juillet-2019
7117002,LABLACHERE,44.480833,4.208333,295,4.0,20.16,5,vague-chaleur-juillet-2019
7128001,LALOUVESC,45.117833,4.535,1090,1.0,18.06,5,vague-chaleur-juillet-2019
7131001,LANAS SYN,44.537167,4.368167,265,3.0,20.02,5,vague-chaleur-juillet-2019
7144001,LOUBARESSE,44.599833,4.049333,1200,0.0,17.979999999999997,5,vague-chaleur-juillet-2019
7154005,MAZAN ABBAYE RAD,44.733833,4.083833,1240,0.0,16.68,5,vague-chaleur-juillet-2019
7159001,MIRABEL SA,44.5815,4.497333,275,0.0,18.8,5,vague-chaleur-juillet-2019
7161001,MONTPEZAT SA,44.715667,4.207,602,4.0,20.24,5,vague-chaleur-juillet-2019
7168001,ORGNAC AVEN,44.288333,4.421667,230,4.0,20.14,5,vague-chaleur-juillet-2019
7172002,PEAUGRES RAD,45.286167,4.705833,480,5.0,22.24,5,vague-chaleur-juillet-2019
7185001,PREAUX SA,45.14,4.665,525,5.0,21.900000000000002,5,vague-chaleur-juillet-2019
7187001,CROIX MILLET,44.606333,4.241333,779,4.0,20.96,5,vague-chaleur-juillet-2019
7202002,SABLIERES OARA,44.533,4.0725,540,4.0,20.72,5,vague-chaleur-juillet-2019
7204008,ST-AGREVE RAD,44.997833,4.368,1014,0.0,17.379999999999995,5,vague-chaleur-juillet-2019
7228001,ST-DESIRAT SA,45.260333,4.783667,275,5.0,21.9,5,vague-chaleur-juillet-2019
7232001,ST-ETIENNE LUGDARES,44.651333,3.9485,1022,0.0,11.7,5,vague-chaleur-juillet-2019
7261001,ST-LAURENT PAPE,44.817833,4.746833,112,1.0,18.82,5,vague-chaleur-juillet-2019
7265001,ST-MARCEL ANNONAY,45.296,4.642,494,0.0,17.880000000000003,5,vague-chaleur-juillet-2019
7279001,ST-MONTAN,44.441833,4.636333,130,4.0,20.46,5,vague-chaleur-juillet-2019
7284002,ST-PIERRE-ST-JEAN,44.449333,4.1165,315,4.0,20.94,5,vague-chaleur-juillet-2019
7286002,ST-PIERREVILLE,44.814333,4.485,560,0.0,16.46,5,vague-chaleur-juillet-2019
7294001,ST-SAUVEUR SA,44.296,4.26,149,1.0,19.52,5,vague-chaleur-juillet-2019
7330004,VALLON SA,44.391833,4.403667,120,1.0,19.080000000000002,5,vague-chaleur-juillet-2019
7331001,VALS-LES-BAINS,44.6695,4.360667,283,4.0,19.98,5,vague-chaleur-juillet-2019
7334004,LES VANS-SA,44.4155,4.150833,140,0.0,18.380000000000003,5,vague-chaleur-juillet-2019
