NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,lcz_source,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,lcz_comp_100m,lcz_comp_300m,lcz_comp_500m,lcz_category
48140003,ST CHELY-D APCHER,44.815333,3.268667,1032,demuzere,14.0,14.0,14.0,"{""14"": 2}","{""14"": 19, ""12"": 7}","{""12"": 27, ""14"": 47, ""6"": 2}",non_bati
48145002,LES BOUVIERS,44.746667,3.521667,1418,demuzere,11.0,11.0,11.0,"{""11"": 2}","{""11"": 27}","{""11"": 76, ""12"": 2}",non_bati
48146002,STE ENIMIE,44.363833,3.4125,480,demuzere,12.0,12.0,11.0,"{""12"": 4}","{""13"": 5, ""12"": 13, ""11"": 11}","{""13"": 26, ""12"": 20, ""11"": 34}",non_bati
48154001,ST GEORGES DE L,44.366667,3.233333,911,demuzere,12.0,12.0,12.0,"{""12"": 2}","{""12"": 17, ""11"": 8, ""13"": 2}","{""11"": 36, ""12"": 40, ""13"": 4}",non_bati
48171001,ST MARTIN DE LANSUSCLE,44.207,3.7685,643,demuzere,11.0,11.0,11.0,"{""11"": 3}","{""11"": 29}","{""11"": 74, ""12"": 5}",non_bati
48176002,ST PIERRE-DES-TRIPIERS,44.2465,3.3035,929,demuzere,12.0,12.0,12.0,"{""12"": 4}","{""12"": 26, ""11"": 4}","{""12"": 62, ""13"": 6, ""11"": 11}",non_bati
48182001,ST SAUVEUR,44.703667,3.606167,1300,demuzere,12.0,12.0,12.0,"{""12"": 3}","{""12"": 18, ""14"": 4, ""11"": 6}","{""14"": 17, ""12"": 51, ""11"": 9}",non_bati
48198001,VILLEFORT,44.441667,3.928333,620,demuzere,13.0,11.0,11.0,"{""13"": 3}","{""12"": 4, ""11"": 13, ""13"": 12}","{""12"": 15, ""13"": 29, ""11"": 34}",non_bati
49020001,BEAUCOUZE,47.479,-0.614333,50,demuzere,14.0,6.0,6.0,"{""14"": 3}","{""12"": 7, ""14"": 9, ""6"": 12}","{""14"": 28, ""12"": 15, ""6"": 34, ""8"": 1}",urbain_aere
49022001,BEAULIEU-S-LAY,47.308,-0.598333,78,demuzere,12.0,12.0,12.0,"{""12"": 2, ""14"": 1}","{""12"": 14, ""14"": 10, ""6"": 1, ""11"": 4}","{""9"": 2, ""12"": 38, ""14"": 26, ""6"": 8, ""11"": 4}",non_bati
49027001,BEGROLLES,47.152167,-0.937667,100,demuzere,14.0,14.0,14.0,"{""14"": 2, ""12"": 1}","{""12"": 9, ""9"": 2, ""14"": 17, ""6"": 1}","{""14"": 52, ""12"": 19, ""11"": 5, ""9"": 2, ""6"": 1}",non_bati
49029001,BLAISON-GOHIER,47.396333,-0.356833,68,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""12"": 8, ""11"": 1, ""14"": 20}","{""12"": 24, ""11"": 5, ""14"": 51}",non_bati
49054002,CANDSA,47.560333,-1.014,57,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 28, ""12"": 1}","{""14"": 70, ""12"": 8}",non_bati
49099003,CHOLET,47.0795,-0.8805,134,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""12"": 8, ""14"": 21}","{""14"": 46, ""6"": 1, ""12"": 29, ""11"": 3}",non_bati
49188001,MARCE,47.561833,-0.317,53,demuzere,12.0,12.0,14.0,"{""12"": 2, ""14"": 1}","{""12"": 14, ""6"": 1, ""14"": 14}","{""14"": 44, ""12"": 30, ""6"": 2, ""3"": 1}",non_bati
49201001,LA MENITRE,47.403833,-0.275,22,demuzere,14.0,14.0,14.0,"{""14"": 1, ""8"": 1, ""6"": 1}","{""14"": 12, ""8"": 5, ""6"": 11}","{""14"": 42, ""6"": 32, ""8"": 5}",non_bati
49215002,MONT-BELLAY-INRAE,47.13,-0.1415,58,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""14"": 22, ""6"": 6, ""9"": 1}","{""14"": 55, ""6"": 22, ""9"": 1}",non_bati
49216001,MONTREUIL SUR LOIR,47.577,-0.386333,23,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""11"": 3, ""12"": 1, ""14"": 23}","{""17"": 5, ""11"": 5, ""14"": 62, ""12"": 5}",non_bati
49244001,LA POMMERAYE,47.359833,-0.8435,91,demuzere,14.0,14.0,14.0,"{""14"": 2}","{""14"": 25, ""6"": 1}","{""14"": 71, ""6"": 7}",non_bati
49281001,ST GEORGES GARD,47.150667,-0.7395,203,demuzere,14.0,14.0,14.0,"{""6"": 1, ""14"": 2}","{""6"": 12, ""12"": 3, ""14"": 13, ""9"": 1}","{""12"": 24, ""14"": 37, ""6"": 16, ""9"": 1}",non_bati
49328001,SAUMUR,47.252167,-0.074333,69,demuzere,6.0,6.0,6.0,"{""6"": 4}","{""5"": 5, ""12"": 1, ""6"": 23, ""8"": 1}","{""3"": 3, ""8"": 7, ""6"": 57, ""5"": 10, ""12"": 4}",urbain_aere
49331002,SEGRE,47.698333,-0.871,49,demuzere,6.0,6.0,6.0,"{""6"": 2}","{""6"": 23, ""14"": 1, ""12"": 4}","{""11"": 3, ""12"": 10, ""14"": 14, ""6"": 49, ""9"": 1, ""8"": 3}",urbain_aere
50020001,PTE DE LA HAGUE,49.725167,-1.939833,6,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""17"": 6, ""14"": 19, ""12"": 2}","{""17"": 13, ""14"": 41, ""12"": 8}",non_bati
50031001,BARNEVILLE CART,49.373333,-1.805,62,demuzere,14.0,12.0,12.0,"{""14"": 3}","{""12"": 12, ""14"": 9, ""15"": 2}","{""14"": 19, ""12"": 20, ""15"": 7, ""9"": 3, ""6"": 2}",non_bati
50036001,BAUPTE,49.306667,-1.365,4,demuzere,9.0,9.0,14.0,"{""9"": 3}","{""12"": 6, ""9"": 10, ""6"": 6, ""14"": 7}","{""14"": 37, ""12"": 14, ""9"": 18, ""6"": 9}",non_bati
50039001,BEAUCOUDRAY,48.968,-1.15,132,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 28, ""11"": 1}","{""14"": 73, ""11"": 6}",non_bati
50074001,BRECEY,48.728833,-1.1715,63,demuzere,12.0,14.0,6.0,"{""14"": 1, ""12"": 2}","{""14"": 11, ""12"": 6, ""11"": 2, ""6"": 9}","{""14"": 29, ""12"": 12, ""9"": 4, ""11"": 3, ""6"": 31}",urbain_aere
50082001,BRICQUEBEC,49.462,-1.650333,38,demuzere,14.0,14.0,14.0,"{""14"": 2}","{""14"": 18, ""12"": 8}","{""14"": 51, ""11"": 8, ""12"": 20}",non_bati
50129001,CHERBOURG-HOMET,49.66,-1.633333,19,demuzere,17.0,8.0,8.0,"{""17"": 2, ""8"": 2}","{""17"": 7, ""8"": 12}","{""17"": 10, ""8"": 25}",bati_special
50139001,CONDE SUR VIRE_SAPC,49.050833,-1.0405,28,demuzere,6.0,6.0,6.0,"{""6"": 4}","{""6"": 26, ""12"": 2}","{""9"": 6, ""12"": 23, ""6"": 48, ""14"": 2}",urbain_aere
50144001,COULOUVRAY-BOISBENATRE,48.785333,-1.103667,268,demuzere,12.0,12.0,12.0,"{""12"": 2, ""11"": 1}","{""14"": 11, ""12"": 15, ""11"": 2}","{""12"": 40, ""14"": 36, ""11"": 2}",non_bati
50147001,COUTANCES,49.044,-1.457833,80,demuzere,14.0,14.0,14.0,"{""14"": 3, ""6"": 1}","{""14"": 21, ""6"": 7, ""11"": 1, ""9"": 1}","{""14"": 56, ""11"": 11, ""12"": 1, ""6"": 8, ""9"": 2}",non_bati
50196001,GATTEVILLE LE P,49.697,-1.265333,4,demuzere,14.0,17.0,14.0,"{""14"": 1, ""17"": 1}","{""17"": 10, ""14"": 4}","{""17"": 11, ""14"": 15}",non_bati
50196004,BARFLEUR,49.6685,-1.280833,13,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 28}","{""14"": 78}",non_bati
50197002,GAVRAY,48.899167,-1.302167,172,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""14"": 29}","{""14"": 74, ""12"": 5}",non_bati
50202001,GIEVILLE,49.0135,-0.970333,134,demuzere,14.0,14.0,14.0,"{""12"": 1, ""14"": 3}","{""14"": 23, ""9"": 2, ""6"": 2, ""12"": 2}","{""14"": 71, ""12"": 3, ""9"": 3, ""6"": 2}",non_bati
50209001,GONNEVILLE,49.652667,-1.4635,134,demuzere,14.0,14.0,14.0,"{""12"": 1, ""14"": 2}","{""12"": 4, ""14"": 23}","{""12"": 14, ""14"": 63}",non_bati
50215001,GOUVILLE,49.1075,-1.549167,32,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""14"": 29}","{""14"": 80}",non_bati
50218001,GRANVILLE,48.8345,-1.613667,37,demuzere,17.0,17.0,17.0,"{""17"": 2, ""14"": 2}","{""17"": 10, ""14"": 7}","{""17"": 15, ""14"": 11, ""8"": 6, ""6"": 1, ""15"": 1}",non_bati
50343001,MONTGARDON,49.2795,-1.573833,80,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 29}","{""14"": 78}",non_bati
50409001,PONT-HEBERT,49.181333,-1.138333,58,demuzere,12.0,14.0,14.0,"{""12"": 3}","{""12"": 10, ""11"": 2, ""14"": 16}","{""12"": 17, ""6"": 2, ""14"": 57, ""11"": 2}",non_bati
50410003,PONTORSON,48.585667,-1.505167,33,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 29}","{""14"": 78}",non_bati
50441001,ROUXEVILLE,49.0975,-0.938667,158,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 28}","{""14"": 78}",non_bati
50484002,ST-HILAIRE-DU-H,48.563667,-1.096667,95,demuzere,12.0,12.0,14.0,"{""12"": 1, ""9"": 1}","{""12"": 11, ""14"": 7, ""9"": 8}","{""12"": 29, ""14"": 33, ""9"": 14}",non_bati
50509002,STE MARIE DU MO,49.4045,-1.168333,5,demuzere,,14.0,14.0,{},"{""14"": 5}","{""14"": 18, ""12"": 3}",non_bati
50615001,VALOGNES,49.517667,-1.506667,61,demuzere,12.0,12.0,12.0,"{""12"": 3}","{""12"": 21, ""11"": 4, ""6"": 3}","{""12"": 56, ""11"": 9, ""6"": 14}",non_bati
51015001,ARGERS,49.064333,4.849833,152,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""14"": 27, ""12"": 1}","{""14"": 74, ""9"": 2, ""12"": 1, ""17"": 2}",non_bati
51029003,AVIZE,48.991,4.026667,115,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 29}","{""14"": 78}",non_bati
51029004,AVIZE-CIVC,48.978,4.01,175,demuzere,14.0,14.0,14.0,"{""14"": 2}","{""14"": 26, ""6"": 1}","{""14"": 66, ""6"": 11}",non_bati
51056001,BETHON,48.607,3.619833,135,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""14"": 28}","{""14"": 76, ""6"": 4}",non_bati
51079001,BOUZY-CIVC,49.091667,4.149167,153,demuzere,14.0,14.0,9.0,"{""14"": 2, ""9"": 1}","{""14"": 14, ""12"": 2, ""9"": 13}","{""14"": 34, ""12"": 3, ""9"": 43}",bati_special
51111001,CHAMBRECY-CIVC,49.183333,3.824167,150,demuzere,14.0,14.0,14.0,"{""12"": 1, ""14"": 2}","{""14"": 19, ""12"": 4, ""6"": 3, ""11"": 2}","{""14"": 65, ""12"": 4, ""6"": 5, ""11"": 5}",non_bati
51136003,CHATILLON-CIVC,49.098667,3.7595,153,demuzere,9.0,9.0,9.0,"{""9"": 4}","{""9"": 28, ""14"": 1}","{""9"": 46, ""14"": 33}",bati_special
51183001,REIMS-COURCY,49.306167,4.050667,91,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 28}","{""14"": 79}",non_bati
51212001,DOMMARTIN,48.75,4.283333,160,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 28}","{""14"": 79}",non_bati
51230002,EPERNAY,49.033333,4.0,90,demuzere,14.0,14.0,14.0,"{""12"": 1, ""14"": 3}","{""14"": 27, ""12"": 2}","{""14"": 78, ""12"": 2}",non_bati
51237001,ESTERNAY-MAN,48.737833,3.575667,175,demuzere,9.0,14.0,14.0,"{""9"": 1, ""14"": 1}","{""9"": 7, ""14"": 19}","{""14"": 66, ""9"": 11, ""11"": 2}",non_bati
51237002,ESTERNAY,48.742,3.579667,185,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 29}","{""14"": 79}",non_bati
51242001,FAGNIERES-INRAE,48.939833,4.3085,105,demuzere,14.0,14.0,14.0,"{""14"": 4}","{""14"": 29}","{""14"": 80}",non_bati
51248002,FERE-CHAMP,48.771667,4.033333,163,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 27, ""11"": 1}","{""14"": 73, ""12"": 3, ""11"": 3}",non_bati
51262001,FRIGNICOURT,48.701167,4.618,113,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 28}","{""14"": 78}",non_bati
51266002,GERMAINE-CIVC,49.123167,4.032333,172,demuzere,14.0,14.0,14.0,"{""14"": 1, ""12"": 1}","{""12"": 12, ""14"": 14}","{""11"": 13, ""12"": 29, ""14"": 32}",non_bati
51338001,MAILLY-CIVC,49.155333,4.116333,182,demuzere,14.0,12.0,6.0,"{""14"": 1, ""12"": 1}","{""6"": 6, ""12"": 12, ""14"": 5, ""11"": 3}","{""6"": 27, ""9"": 1, ""14"": 18, ""12"": 15, ""11"": 15}",urbain_aere
51388001,MOURMELON,49.15,4.4,112,demuzere,12.0,12.0,14.0,"{""12"": 2, ""14"": 1}","{""12"": 18, ""14"": 10, ""11"": 1}","{""14"": 35, ""12"": 30, ""11"": 14}",non_bati
51454001,REIMS-VILLE,49.25,4.05,99,demuzere,6.0,6.0,6.0,"{""6"": 3}","{""6"": 28}","{""3"": 3, ""6"": 75, ""5"": 1}",urbain_aere
51491001,ST-JEAN-TOURBE,49.1,4.7,190,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 27}","{""14"": 75}",non_bati
51507007,STE MENEHOULD,49.073333,4.885,164,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 22, ""9"": 6}","{""11"": 4, ""9"": 20, ""14"": 52, ""6"": 2}",non_bati
51518001,ST THIERRY-CIVC,49.300833,3.960667,135,demuzere,6.0,14.0,14.0,"{""6"": 3}","{""14"": 18, ""6"": 11}","{""14"": 56, ""6"": 22}",non_bati
51544002,SOMMEPY,49.253167,4.553833,140,demuzere,9.0,9.0,14.0,"{""9"": 2}","{""14"": 9, ""9"": 16, ""6"": 2}","{""14"": 40, ""9"": 28, ""6"": 9}",non_bati
51545001,SOMMESOUS,48.734167,4.2075,167,demuzere,6.0,14.0,14.0,"{""6"": 2, ""14"": 1}","{""6"": 10, ""9"": 4, ""14"": 14}","{""14"": 50, ""9"": 17, ""6"": 12}",non_bati
51548001,SOMME-VESLE,49.007333,4.5885,162,demuzere,14.0,14.0,14.0,"{""14"": 3}","{""14"": 28}","{""9"": 1, ""14"": 77, ""12"": 1}",non_bati
51559002,SUIPPES,49.12,4.541667,136,demuzere,6.0,6.0,6.0,"{""6"": 4}","{""6"": 17, ""9"": 7, ""14"": 5}","{""6"": 35, ""9"": 13, ""14"": 33}",urbain_aere
51583001,TROIS-FONTAINES,48.710167,4.9435,204,demuzere,11.0,11.0,11.0,"{""11"": 2}","{""11"": 27}","{""11"": 70, ""14"": 7, ""12"": 1}",non_bati
